boot,corpus,point,sha,run,ms,rc,proved,failed,trivial
1787422888,synth300,p02,aeffba0a4fb46ce3cb7ecf7ae04dcb3c50167779,2,10002,0,1500,0,300
1787422888,synth300,p02,aeffba0a4fb46ce3cb7ecf7ae04dcb3c50167779,3,9818,0,1500,0,300
1787422888,synth300,p03,ed084329d6eef03d287aad4da3c13c2568515c5e,1,9919,0,1500,0,300
1787422888,synth300,p03,ed084329d6eef03d287aad4da3c13c2568515c5e,2,10036,0,1500,0,300
1787422888,synth300,p03,ed084329d6eef03d287aad4da3c13c2568515c5e,3,9754,0,1500,0,300
1787422888,synth300,p04,64f03fce29369b2878614fb136c38ae2fac4265c,1,9562,0,1500,0,300
1787422888,synth300,p04,64f03fce29369b2878614fb136c38ae2fac4265c,2,9643,0,1500,0,300
1787422888,synth300,p04,64f03fce29369b2878614fb136c38ae2fac4265c,3,9598,0,1500,0,300
1787422888,synth300,p05,755f909ff5c263c3f49e9a6c04ad827c1c3874ba,1,10501,0,1500,0,300
1787422888,synth300,p05,755f909ff5c263c3f49e9a6c04ad827c1c3874ba,2,9686,0,1500,0,300
1787422888,synth300,p05,755f909ff5c263c3f49e9a6c04ad827c1c3874ba,3,9704,0,1500,0,300
1787422888,synth300,p06,52b0b62f7d829d39a41a275a01c6a2d579318400,1,7034,0,1500,0,300
1787422888,synth300,p06,52b0b62f7d829d39a41a275a01c6a2d579318400,2,6121,0,1500,0,300
1787422888,synth300,p06,52b0b62f7d829d39a41a275a01c6a2d579318400,3,6065,0,1500,0,300
1787422888,synth300,p07,c9424396bc7c2f40686e576ac99b23c77687cfee,1,4905,0,1500,0,300
1787422888,synth300,p07,c9424396bc7c2f40686e576ac99b23c77687cfee,2,4288,0,1500,0,300
1787422888,synth300,p07,c9424396bc7c2f40686e576ac99b23c77687cfee,3,4264,0,1500,0,300
1787422888,synth300,p08,502b1a9e8bc83755f8c566574e4c8c6d976b92ca,1,4138,0,1500,0,300
1787422888,synth300,p08,502b1a9e8bc83755f8c566574e4c8c6d976b92ca,2,4134,0,1500,0,300
1787422888,synth300,p08,502b1a9e8bc83755f8c566574e4c8c6d976b92ca,3,4170,0,1500,0,300
1787422888,synth300,p09,5f33dd3c2a7a2621d052210ccbf645ac6944016c,1,5051,0,1500,0,300
