boot,corpus,point,sha,kind,idx,seconds,n
1787475254,synth100,p13,8b61c59b4c743657e1bd91c0e125957b319cd883,edit,3,0.0766,3
1787475254,synth100,p14,48fcd12614e2f22820dc3eabc8bfe4f3407763af,open,0,0.0740,3
1787475254,synth100,p14,48fcd12614e2f22820dc3eabc8bfe4f3407763af,edit,1,0.0700,3
1787475254,synth100,p14,48fcd12614e2f22820dc3eabc8bfe4f3407763af,edit,2,0.0689,3
1787475254,synth100,p14,48fcd12614e2f22820dc3eabc8bfe4f3407763af,edit,3,0.0738,3
1787475254,synth100,p15,4c9bca9e34d78ef186f4d184b32da3fcba19fae0,open,0,0.0753,3
1787475254,synth100,p15,4c9bca9e34d78ef186f4d184b32da3fcba19fae0,edit,1,0.0690,3
1787475254,synth100,p15,4c9bca9e34d78ef186f4d184b32da3fcba19fae0,edit,2,0.0680,3
1787475254,synth100,p15,4c9bca9e34d78ef186f4d184b32da3fcba19fae0,edit,3,0.0720,3
1787475254,synth100,p16,7c9ae2029e18909a97773cd7693f2e4b48a8d0eb,open,0,0.0702,3
1787475254,synth100,p16,7c9ae2029e18909a97773cd7693f2e4b48a8d0eb,edit,1,0.0613,3
1787475254,synth100,p16,7c9ae2029e18909a97773cd7693f2e4b48a8d0eb,edit,2,0.0681,3
1787475254,synth100,p16,7c9ae2029e18909a97773cd7693f2e4b48a8d0eb,edit,3,0.0644,3
1787475254,synth100,p17,067bdbc08d585077e2a1f0907ee0a1e84a90e795,open,0,0.0618,3
1787475254,synth100,p17,067bdbc08d585077e2a1f0907ee0a1e84a90e795,edit,1,0.0591,3
1787475254,synth100,p17,067bdbc08d585077e2a1f0907ee0a1e84a90e795,edit,2,0.0601,3
1787475254,synth100,p17,067bdbc08d585077e2a1f0907ee0a1e84a90e795,edit,3,0.0586,3
1787475254,synth300,p00,4600b24c6d95a25ff081ad37b63b2a01c29d43a5,open,0,2.5962,3
1787475254,synth300,p00,4600b24c6d95a25ff081ad37b63b2a01c29d43a5,edit,1,2.6269,3
1787475254,synth300,p00,4600b24c6d95a25ff081ad37b63b2a01c29d43a5,edit,2,2.6045,3
1787475254,synth300,p00,4600b24c6d95a25ff081ad37b63b2a01c29d43a5,edit,3,2.5943,3
1787475254,synth300,p01,3baeb0b5adc6b21be4b86e79346192bfbcc6e043,open,0,2.5632,3
1787475254,synth300,p01,3baeb0b5adc6b21be4b86e79346192bfbcc6e043,edit,1,2.6169,3
1787475254,synth300,p01,3baeb0b5adc6b21be4b86e79346192bfbcc6e043,edit,2,2.6307,3
1787475254,synth300,p01,3baeb0b5adc6b21be4b86e79346192bfbcc6e043,edit,3,2.6350,3
1787475254,synth300,p02,aeffba0a4fb46ce3cb7ecf7ae04dcb3c50167779,open,0,2.7183,3
1787475254,synth300,p02,aeffba0a4fb46ce3cb7ecf7ae04dcb3c50167779,edit,1,2.6887,3
